"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0154","Galena","BC","Pb-Zn",18.753,15.693,39.064,0.837,2.083,83,9.82,4.0309,"Arribas & Tosdal, 1994","Ref.016",37.601059,-1.327094
"GDM.0155","Galena","BC","Pb-Zn",18.758,15.681,39.014,0.836,2.08,55,9.77,3.9981,"Arribas & Tosdal, 1994","Ref.016",37.282984,-1.763895
"GDM.0156","Galena","BC","Pb-Zn",18.758,15.679,39.007,0.836,2.079,51,9.77,3.9938,"Arribas & Tosdal, 1994","Ref.016",37.282984,-1.763895
"GDM.0157","Galena","BC","Pb-Zn",18.764,15.688,39.037,0.836,2.08,64,9.8,4.0083,"Arribas & Tosdal, 1994","Ref.016",37.282984,-1.763895
"GDM.0158","Galena","BC","Pb-Zn",18.758,15.684,39.011,0.836,2.08,61,9.79,3.9977,"Arribas & Tosdal, 1994","Ref.016",37.282984,-1.763895
"GDM.0159","Galena","BC","Pb-Zn",18.755,15.681,39.005,0.836,2.08,57,9.77,3.9955,"Arribas & Tosdal, 1994","Ref.016",37.39096,-1.698236
"GDM.0160","Galena","BC","Pb-Zn",18.758,15.686,39.029,0.836,2.081,65,9.79,4.0074,"Arribas & Tosdal, 1994","Ref.016",37.39096,-1.698236
"GDM.0161","Galena","BC","Pb-Zn",18.746,15.68,39.004,0.836,2.081,62,9.77,4.0005,"Arribas & Tosdal, 1994","Ref.016",37.532116,-1.640511
"GDM.0162","Galena","BC","Pb-Zn",18.872,15.697,38.985,0.832,2.066,2,9.81,3.9163,"Arribas & Tosdal, 1994","Ref.016",36.851135,-2.058124
"GDM.0163","Galena","BC","Pb-Zn",18.862,15.684,38.94,0.832,2.064,-17,9.77,3.8957,"Arribas & Tosdal, 1994","Ref.016",36.851135,-2.058124
"GDM.0164","Galena","BC","Pb-Zn",18.849,15.676,38.915,0.832,2.065,-24,9.74,3.8886,"Arribas & Tosdal, 1994","Ref.016",36.851135,-2.058124
"GDM.0165","Galena","BC","Pb-Zn",18.855,15.685,38.933,0.832,2.065,-10,9.77,3.897,"Arribas & Tosdal, 1994","Ref.016",36.851135,-2.058124
"GDM.0166","Whole rock","BC","Pb-Zn",18.862,15.69,38.929,0.832,2.064,-5,9.79,3.8924,"Arribas & Tosdal, 1994","Ref.016",36.851135,-2.058124
"GDM.0167","Galena","BC","Pb-Zn",18.782,15.684,38.96,0.835,2.074,43,9.78,3.9566,"Arribas & Tosdal, 1994","Ref.016",36.752147,-2.149578
"GDM.0168","Galena","BC","Pb-Zn",18.789,15.687,38.974,0.835,2.074,44,9.79,3.9602,"Arribas & Tosdal, 1994","Ref.016",36.752147,-2.149578
"GDM.0169","Ore mix","SPZ",NA,18.185,15.623,38.255,0.859,2.104,371,9.67,3.9636,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0170","Ore mix","SPZ",NA,18.158,15.635,38.263,0.861,2.107,414,9.73,3.9909,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0171","Ore mix","SPZ",NA,18.151,15.643,38.264,0.862,2.108,434,9.76,3.9991,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0172","Ore mix","SPZ",NA,18.2,15.627,38.215,0.859,2.1,368,9.68,3.9328,"Marcoux&Sáez, 1994","Ref.017",37.578645,-6.721738
"GDM.0173","Ore mix","SPZ",NA,18.206,15.651,38.319,0.86,2.105,408,9.78,3.9939,"Marcoux&Sáez, 1994","Ref.017",37.79377,-6.887673
"GDM.0174","Ore mix","SPZ",NA,18.142,15.607,38.205,0.86,2.106,374,9.62,3.9602,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0175","Ore mix","SPZ",NA,18.189,15.665,38.341,0.861,2.108,446,9.84,4.0226,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0176","Ore mix","SPZ",NA,18.258,15.608,38.214,0.855,2.093,288,9.59,3.8864,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0177","Ore mix","SPZ",NA,18.264,15.601,38.206,0.854,2.092,270,9.56,3.8756,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0178","Ore mix","SPZ",NA,18.251,15.615,38.372,0.856,2.102,307,9.62,3.9792,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0179","Ore mix","SPZ",NA,18.293,15.645,38.453,0.855,2.102,332,9.73,4.0048,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
"GDM.0180","Ore mix","SPZ",NA,18.287,15.705,38.544,0.859,2.108,447,9.98,4.0791,"Marcoux&Sáez, 1994","Ref.017",37.715398,-6.583105
