"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.2010","GDM.2010","Hembrar","Spain","Castellón","Chóvar","Minas del Hembrar",39.8575,-0.296111,"Mineral","Hg mineral","Cinnabar","Hg",18.169,0.002,15.622,0.002,38.105,0.006,0.85984,4e-05,2.09726,0.00014,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,381,9.6707,3.8917,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2011","GDM.2011","PA20125","Spain","León","Riaño","Lois",42.996389,-5.115,"Mineral","Hg mineral","Cinnabar","Hg",18.593,0.002,15.704,0.002,38.638,0.005,0.84457,3e-05,2.07805,0.00013,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,222,9.8966,3.9226,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2012","GDM.2012","PA20126","Spain","León","Riaño","Riosol",43.067778,-5.225833,"Mineral","Hg mineral","Cinnabar","Hg",19.742,0.002,15.783,0.002,38.676,0.005,0.79947,3e-05,1.95909,0.00014,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-474,10.0114,3.317,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2013","GDM.2013","PA20129","Spain","León","Riaño","Escarlatti",43.073333,-5.235833,"Mineral","Hg mineral","Cinnabar","Hg",19.105,0.002,15.746,0.002,38.63,0.005,0.82416,3e-05,2.02195,0.00013,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-73,9.9615,3.6214,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2014","GDM.2014","PA20130","Spain","León","Riaño","Pedrosa del Rey",42.936111,-4.960833,"Mineral","Hg mineral","Cinnabar","Hg",20.972,0.002,15.826,0.002,38.507,0.005,0.75461,3e-05,1.83611,0.00013,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1345,10.0665,2.7359,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2015","GDM.2015","PA20131","Spain","León","Riaño","Pedrosa del Rey",42.936111,-4.960833,"Mineral","Hg mineral","Cinnabar","Hg",20.072,0.002,15.776,0.002,38.655,0.005,0.78597,3e-05,1.92582,0.00013,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-745,9.9531,3.149,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2016","GDM.2016","PA20132","Spain","León","Riaño","Riaño",42.936111,-4.960833,"Mineral","Hg mineral","Cinnabar","Hg",18.668,0.002,15.703,0.002,38.623,0.005,0.84119,3e-05,2.06896,0.00014,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,165,9.8769,3.8663,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2017","GDM.2017","PA20133","Spain","León","Barrios de Luna","Miñera de Luna",42.882778,-5.8575,"Mineral","Hg mineral","Cinnabar","Hg",18.383,0.002,15.697,0.002,38.643,0.005,0.85392,3e-05,2.10215,0.00014,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,363,9.9178,4.0632,"Rodríguez et al., 2020","Ref.134","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2302","GDM.2302","MRB149","Spain","Huelva","Puebla de Guzman","San Francisco",37.685757,-7.382014,"Mineral","Cu mineral","goe, hm, mq","Cu",18.177,0.012,15.61,0.01,38.164,0.0243,0.858778,1e-04,2.099576,0.00021,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,353,9.6206,3.9146,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2303","GDM.2303","MRB150","Spain","Huelva","Puebla de Guzman","San Fernando",37.671034,-7.365566,"Mineral","Cu mineral","goe, hm","Cu",18.21,0.004,15.647,0.004,38.282,0.0114,0.859253,7e-05,2.102252,0.00025,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,398,9.7608,3.9695,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2304","GDM.2304","MRB151","Spain","Huelva","Puebla de Guzman","Los Silos",37.683546,-7.360851,"Mineral","Cu mineral","goe, hm","Cu",18.231,0.007,15.666,0.007,38.361,0.0183,0.859306,1e-04,2.104163,0.00038,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,417,9.832,4.0048,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2305","GDM.2305","MRB152","Spain","Huelva","Puebla de Guzman","Los Silos",37.683546,-7.360851,"Mineral","Cu mineral","goe, hm","Cu",18.206,0.004,15.632,0.003,38.247,0.0076,0.858618,5e-05,2.100791,0.00013,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,373,9.7015,3.9479,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2306","GDM.2306","MRB153","Spain","Huelva","Paymogo","Romanera",37.686758,-7.338398,"Mineral","Cu mineral","py, cpy, sl, gn","Cu",18.175,0.009,15.628,0.008,38.223,0.0205,0.859862,9e-05,2.103054,0.00021,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,388,9.6933,3.9547,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2307","GDM.2307","MRB154","Spain","Huelva","Paymogo","Romanera",37.686758,-7.338398,"Mineral","Cu mineral","py, cpy, sl, gn","Cu",18.213,0.004,15.664,0.004,38.345,0.0107,0.860045,5e-05,2.105364,0.00013,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,427,9.8287,4.0078,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2308","GDM.2308","MRB155","Spain","Huelva","Paymogo","Romanera",37.686758,-7.338398,"Mineral","Cu mineral","py, cpy, sl, gn","Cu",18.27,0.007,15.73,0.007,38.552,0.0207,0.860974,0.00012,2.110126,0.00051,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,503,10.0819,4.1038,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2309","GDM.2309","MRB156","Spain","Huelva","Paymogo","Romanera",37.686758,-7.338398,"Mineral","Cu mineral","py, cpy, sl, gn","Cu",18.185,0.004,15.625,0.004,38.202,0.0091,0.859225,7e-05,2.100742,0.00017,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,375,9.6787,3.9352,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2310","GDM.2310","B1","Spain","Huelva","Alosno","Tharsis",37.584703,-7.219387,"Mineral","Cu mineral","goe, hm","Cu",18.194,NA,15.656,NA,38.322,NA,0.860503,NA,2.106299,NA,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,426,9.8013,4.0056,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2311","GDM.2311","B2","Spain","Huelva","Alosno","Tharsis",37.584703,-7.115805,"Mineral","Cu mineral","jar, beu","Cu",18.195,NA,15.66,NA,38.329,NA,0.860676,NA,2.106568,NA,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,433,9.8173,4.0102,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2312","GDM.2312","B3","Spain","Huelva","Alosno","Tharsis",37.589866,-7.123059,"Mineral","Cu mineral","mq, az","Cu",18.21,NA,15.642,NA,38.307,NA,0.858979,NA,2.103624,NA,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,388,9.7407,3.9815,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2313","GDM.2313","B4","Spain","Huelva","Alosno","Tharsis",37.589866,-7.123059,"Mineral","Cu mineral","py, cpy","Cu",18.194,NA,15.604,NA,38.16,NA,0.857645,NA,2.097395,NA,NA,NA,NA,NA,NA,"SPZ","Carb inf","CVS","IPB-CVS",NA,NA,NA,NA,NA,NA,329,9.5924,3.8988,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.2314","GDM.2314","MIDAS 238-A","Spain","Huelva","Paymogo","Preciosa",37.698909,-7.221974,"Mineral","Cu mineral","qz, mq, az, ttd, gn, bar, cpy","Cu",18.2535,0.0017,15.6323,0.0019,38.3962,0.0111,0.85639,4e-05,2.103435,0.00018,NA,NA,NA,NA,NA,"SPZ","Dev sup","Gafo","IPB Gafo",NA,NA,NA,NA,NA,NA,338,9.6909,3.9968,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2315","GDM.2315","MIDAS 247","Spain","Huelva","Paterna del Campo","Nª Sra del Amparo y la Unión",37.460758,-6.47678,"Mineral","Cu mineral","qz, cpy, gn, sl, py,  frei, mq, az","Cu",18.1725,0.002,15.6339,0.0023,38.2516,0.012,0.860302,5e-05,2.104853,0.00022,NA,NA,NA,NA,NA,"SPZ","Dev sup","PQ","IPB-PQ",NA,NA,NA,NA,NA,NA,401,9.7177,3.9742,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2316","GDM.2316","MIDAS 249","Spain","Huelva","Paterna del Campo","Santa Isabel",37.499514,-6.469839,"Mineral","Cu mineral","oli, clinoclasa, mq, qz","Cu",18.1759,0.0018,15.6178,0.0019,38.1888,0.0111,0.859255,4e-05,2.101006,0.00018,NA,NA,NA,NA,NA,"SPZ","Dev sup","PQ","IPB-PQ",NA,NA,NA,NA,NA,NA,368,9.6521,3.9317,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2317","GDM.2317","MIDAS 245","Spain","Huelva","Valvede del Camino","Cabezadas del Sandino",37.525708,-6.675085,"Mineral","Cu mineral","qz, goe, mq, eritrina","Cu",18.2246,0.0017,15.6563,0.0019,38.3754,0.0112,0.859075,4e-05,2.105619,0.00019,NA,NA,NA,NA,NA,"SPZ","Dev sup","PQ","IPB-PQ",NA,NA,NA,NA,NA,NA,404,9.7945,4.0138,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2318","GDM.2318","MIDAS 244","Spain","Huelva","Zufre","Corral del Jarrama",37.760567,-6.468347,"Mineral","Cu mineral","qz, mq","Cu",18.4471,0.0047,15.6261,0.0041,38.3977,0.0141,0.847058,5e-05,2.081377,0.00019,NA,NA,NA,NA,NA,"SPZ","Carb sup","Gabros BSNS","IPB-BSNS",NA,NA,NA,NA,NA,NA,180,9.6227,3.8654,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2319","GDM.2319","MIDAS 194A","Spain","Sevilla","El Garrobo","Cuesta Media Fanega",37.667725,-6.171538,"Mineral","Cu mineral","py, gn, sl, cpy, goe, mq","Cu",18.192,0.0022,15.6284,0.0025,38.2458,0.0129,0.859071,5e-05,2.102283,0.00039,NA,NA,NA,NA,NA,"SPZ","Dev sup","PQ","IPB PQ",NA,NA,NA,NA,NA,NA,376,9.6906,3.9556,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2320","GDM.2320","MRB158","Portugal","Faro","Vaqueiros","Cova dos Mouros",37.396568,-7.699113,"Mineral","Cu mineral","qz, mq","Cu",18.306,0.0102,15.659,0.0091,38.4,0.0222,0.855403,9e-05,2.097673,0.00021,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,349,9.7848,3.9722,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2321","GDM.2321","MIDAS 442","Portugal","Beja","São Pedro de Solis","Mina Brejo",37.437616,-7.883949,"Mineral","Cu mineral","qz, mq","Cu",18.6303,7e-04,15.6575,7e-04,38.7627,0.0019,0.840432,1e-05,2.080625,5e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,104,9.7078,3.9458,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2322","GDM.2322","MIDAS 443","Portugal","Faro","Cachopo","Pedra Branca",37.376864,-7.798851,"Mineral","Cu mineral","qz, mq, az","Cu",18.7784,0.0028,15.6604,0.0024,38.6732,0.0062,0.833961,3e-05,2.059452,9e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,-2,9.6916,3.8072,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2323","GDM.2323","MIDAS 444","Portugal","Faro","Vaqueiros","Espingardinha",37.367177,-7.619927,"Mineral","Cu mineral","qz, mq, cc","Cu",18.5417,0.0017,15.6492,0.0015,38.5774,0.004,0.843999,2e-05,2.080577,7e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,154,9.6933,3.9054,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2324","GDM.2324","MIDAS 445","Portugal","Portalegre","Margem","Cerro Cruz",37.352932,-7.609542,"Mineral","Cu mineral","qz, mq","Cu",18.5318,0.001,15.6372,9e-04,38.5503,0.0025,0.843803,1e-05,2.080228,5e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,138,9.6486,3.8936,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2325","GDM.2325","MIDAS 446","Portugal","Faro","Martim Longo","Martin Longo",37.4483,-7.755926,"Mineral","Cu mineral","mq, az","Cu",19.29,0.0012,15.6844,0.0011,39.0187,0.0028,0.813084,2e-05,2.022741,5e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,-344,9.7047,3.6762,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2326","GDM.2326","MIDAS 447","Portugal","Faro","Odeleite","Pedra Alba",37.346523,-7.554604,"Mineral","Cu mineral","qz, mq","Cu",18.3868,9e-04,15.6407,9e-04,38.4516,0.0025,0.850651,2e-05,2.091264,6e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,254,9.6931,3.9389,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2327","GDM.2327","MIDAS 448","Portugal","Faro","R. de Cortes Pereira","Cortes Pereiras",37.496105,-7.51102,"Mineral","Cu mineral","py, cpy","Cu",18.2902,8e-04,15.6394,7e-04,38.3795,0.0019,0.855067,1e-05,2.098364,3e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,324,9.7104,3.9651,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2328","GDM.2328","MIDAS 449","Portugal","Faro","Odeleite","Unnamed near Monte Novo",37.373559,-7.597293,"Mineral","Cu mineral","qz, mq","Cu",19.5218,0.0014,15.6907,0.0013,39.6456,0.0036,0.803754,2e-05,2.030844,6e-05,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,-511,9.7003,3.8281,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2329","GDM.2329","MIDAS 450","Portugal","Faro","Vaqueiros","Alcaria Queimada",37.395873,-7.649079,"Mineral","Cu mineral","mq","Cu",19.2093,0.0062,15.6742,0.005,39.2939,0.0128,0.815966,4e-05,2.045561,0.00013,NA,NA,NA,NA,NA,"SPZ","Carb sup","Culm","IPB-Culm",NA,NA,NA,NA,NA,NA,-304,9.6775,3.8474,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2330","GDM.2330","MIDAS 377","Portugal","Faro","São Bartolomeu de Messines","Monte Rosso",37.256894,-8.327908,"Mineral","Cu mineral","mq, az","Cu",18.7324,0.0012,15.6739,0.0011,38.7296,0.0028,0.83673,1e-05,2.06752,6e-05,NA,NA,NA,NA,NA,"SPZ","Permico","New Red Sandstone","New Red Sandstone",NA,NA,NA,NA,NA,NA,60,9.7516,3.8692,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","South Portuguese Zone"
"GDM.2331","GDM.2331","MID488","Spain","Huelva","Cala","Filon del Portugués",37.94528,-6.347241,"Mineral","Cu mineral","mq","Cu",20.2501,0.0022,15.7079,0.0018,38.2855,0.0051,0.775699,2e-05,1.890637,9e-05,NA,NA,NA,NA,NA,"OMZ",NA,"Skarn Calizas Cambricas","Cheles-Barrancos domain",NA,NA,NA,NA,NA,NA,-1059,9.6985,2.898,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2332","GDM.2332","MID489","Spain","Huelva","Cala","Open Pit",37.947647,-6.348294,"Mineral","Cu mineral","mq, cup","Cu",19.6908,0.0011,15.6818,0.001,39.624,0.0028,0.796404,1e-05,2.012313,6e-05,NA,NA,NA,NA,NA,"OMZ",NA,"Skarn Calizas Cambricas","Cheles-Barrancos domain",NA,NA,NA,NA,NA,NA,-667,9.6509,3.7182,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2333","GDM.2333","MIDAS248","Spain","Badajoz","La Vicaria","La Vicaría",38.015739,-6.34902,"Mineral","Cu mineral","goe, mq, pseudomq","Cu",18.226,0.0018,15.608,0.002,38.2497,0.0112,0.856352,4e-05,2.098572,0.00018,NA,NA,NA,NA,NA,"OMZ",NA,NA,"Cheles-Barrancos/Olivenza Monesterio",NA,NA,NA,NA,NA,NA,312,9.6007,3.9274,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2334","GDM.2334","MIDAS243","Spain","Sevilla","Almaden de la Plata","San Miguel",37.889947,-6.075122,"Mineral","Cu mineral","cpy, cup, mq, sl, gn, qz","Cu",18.419,0.0037,15.6187,0.0034,38.5729,0.0132,0.847953,5e-05,2.094124,0.00018,NA,NA,NA,NA,NA,"OMZ"," Silurico","Esq y volc","Cheles-Barrancos domain",NA,NA,NA,NA,NA,NA,187,9.5997,3.9736,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2335","GDM.2335","MIDAS246","Spain","Sevilla","El Real de la Jara","San Luis",37.985638,-5.997738,"Mineral","Cu mineral","qz, sl, gn, cpy","Cu",18.4044,0.0059,15.6179,0.0072,38.5204,0.0239,0.848581,0.00012,2.093086,0.00063,NA,NA,NA,NA,NA,"OMZ","Neo Prot.","Esq, Cuarcitas y Anfibolitas","Cheles-Barrancos Domain",NA,NA,NA,NA,NA,NA,197,9.5997,3.9554,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2336","GDM.2336","MIDAS 439","Spain","Sevilla","Peñaflor","La Preciosa",37.716415,-5.340123,"Mineral","Cu mineral","py, cpy, sl, mt, mq, qz","Cu",17.4564,7e-04,15.4957,8e-04,37.5297,0.0021,0.887678,1e-05,2.14991,5e-05,NA,NA,NA,NA,NA,"OMZ","NeoProt","Esq, Cuarcitas y Anfibolitas","Lora del Río Thermal dome",NA,NA,NA,NA,NA,NA,688,9.3613,4.0266,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2337","GDM.2337","MIDAS 440","Spain","Sevilla","Peñaflor","La Preciosa",37.716415,-5.340123,"Mineral","Cu mineral","py, cpy, sl, mt, mq, qz","Cu",17.4953,8e-04,15.4972,9e-04,37.5323,0.0025,0.885795,2e-05,2.14528,6e-05,NA,NA,NA,NA,NA,"OMZ","NeoProt","Esq, Cuarcitas y Anfibolitas","Lora del Río Thermal dome",NA,NA,NA,NA,NA,NA,660,9.3543,3.9989,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2338","GDM.2338","MIDAS 224-A","Spain","Sevilla","Peñaflor","La Canaleja",37.745677,-5.411043,"Mineral","Cu mineral","qz, py, cpy, mq, bn, az, hm, Au","Cu",20.0991,0.0042,15.7225,0.0035,40.2105,0.0138,0.782245,4e-05,2.000627,0.00017,NA,NA,NA,NA,NA,"OMZ","Camb inf","Gabros y Dioritas","Cheles Barrancos domain",NA,NA,NA,NA,NA,NA,-897,9.7608,3.7553,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2339","GDM.2339","MIDAS 224-B","Spain","Sevilla","Peñaflor","La Canaleja",37.745677,-5.411043,"Mineral","Cu mineral","qz, py, cpy, mq, bn, az, hm, Au","Cu",18.7699,0.0044,15.6499,0.0039,38.911,0.0138,0.833752,4e-05,2.072952,0.00018,NA,NA,NA,NA,NA,"OMZ","Camb inf","Gabros y Dioritas","Cheles Barrancos domain",NA,NA,NA,NA,NA,NA,-17,9.6531,3.9274,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2340","GDM.2340","MIDAS 225","Spain","Sevilla","Peñaflor","La Canaleja",37.745677,-5.411043,"Mineral","Cu mineral","qz, py, cpy, mq, bn, az, hm, Au","Cu",18.4122,0.0019,15.6302,0.0021,38.5053,0.0113,0.848918,4e-05,2.091217,0.00018,NA,NA,NA,NA,NA,"OMZ","Camb inf","Gabros y Dioritas","Cheles Barrancos domain",NA,NA,NA,NA,NA,NA,215,9.6462,3.9466,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2341","GDM.2341","MIDAS 226","Spain","Sevilla","La Puebla de los Infantes","Fuente de la Mujer",37.818098,-5.396543,"Mineral","Cu mineral","qz, cp, py, mq, hm ","Cu",19.8145,0.004,15.6715,0.0033,39.1088,0.0132,0.790918,4e-05,1.973751,0.00017,NA,NA,NA,NA,NA,"OMZ","Proteroz","granito","Olivenza-Monesterio",NA,NA,NA,NA,NA,NA,-792,9.6029,3.4268,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2342","GDM.2342","MIDAS 227","Spain","Sevilla","La Puebla de los Infantes","La Minilla",37.82619,-5.365811,"Mineral","Cu mineral","qz, py, cpy, mq, hm","Cu",18.3108,0.0032,15.5654,0.0029,37.8798,0.0121,0.850057,4e-05,2.068601,0.00018,NA,NA,NA,NA,NA,"OMZ","Neo Prot.","Pz y Volcánicas ","Olivenza-Monesterio",NA,NA,NA,NA,NA,NA,164,9.4143,3.6575,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2343","GDM.2343","MIDAS 228-A","Spain","Córdoba","Sierra de Hornachuelos","Los Posaderos",37.915597,-5.277255,"Mineral","Cu mineral","qz, gn, cpy, sl, sid, mq, bn","Cu",18.4726,0.0026,15.5944,0.0024,38.4834,0.0119,0.844181,4e-05,2.08321,0.00018,NA,NA,NA,NA,NA,"OMZ","Neo Prot.","Pz y Volcánicas ","Olivenza-Monesterio",NA,NA,NA,NA,NA,NA,97,9.4945,3.8821,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2344","GDM.2344","MIDAS 229-A","Spain","Córdoba","Sierra de Hornachuelos","Mata de San Román",37.952025,-5.393683,"Mineral","Cu mineral","qz, mq","Cu",18.4755,0.0061,15.6003,0.0054,38.3851,0.0168,0.844408,5e-05,2.077671,2e-04,NA,NA,NA,NA,NA,"OMZ","Camb inf","Esq y metavulcanitas","Olivenza-Monesterio",NA,NA,NA,NA,NA,NA,107,9.5168,3.8311,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.2345","GDM.2345","MIDAS 230","Spain","Córdoba","Sierra de Hornachuelos","Mina Rincon Sur",37.878192,-5.286983,"Mineral","Cu mineral","qz, cpy, bar, mq, hm","Cu",18.5226,0.007,15.5958,0.0075,38.477,0.0215,0.842132,7e-05,2.07759,0.00026,NA,NA,NA,NA,NA,"OMZ","Camb inf","Calizas y pizarras","Olivenza-Monesterio",NA,NA,NA,NA,NA,NA,62,9.4904,3.8467,"Sáez et al., 2020","Ref.135","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
